City_TD,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
136,Kyshtovka,56.555,76.6271,56.62,92,1,7.78,RU,1659985701
137,Mahébourg,-20.4081,57.7,66.25,76,4,11.81,MU,1659985702
138,Yozgat Province,39.5833,35.3333,66.52,60,0,7.92,TR,1659985704
139,Sioux Lookout,50.1001,-91.917,75.81,39,75,6.98,CA,1659985705
140,Usinsk,65.9939,57.5281,60.75,63,100,7.47,RU,1659985707
141,Yenagoa,4.9247,6.2642,75.34,89,100,5.66,NG,1659985708
142,Champerico,14.3,-91.9167,83.23,74,100,5.32,GT,1659985710
143,Mossamedes,-15.1961,12.1522,64.72,84,92,2.77,AO,1659985712
144,Bokoro,12.3807,17.0568,82.27,64,48,1.32,TD,1659985714
145,Kaitangata,-46.2817,169.8464,35.69,76,33,8.21,NZ,1659985715
146,Liuhe,42.2401,125.7172,57.58,88,7,4.36,CN,1659985716
147,Tiksi,71.6872,128.8694,48.36,97,100,2.33,RU,1659985718
148,Sur,22.5667,59.5289,89.64,57,100,7.87,OM,1659985719
149,Vila,42.0304,-8.1588,74.7,61,1,5.37,PT,1659985722
150,Yārāda,17.65,83.2667,79.12,94,100,10.36,IN,1659985723
151,Bredasdorp,-34.5322,20.0403,55.09,94,100,4.83,ZA,1659985724
152,Kavieng,-2.5744,150.7967,80.6,80,83,11.01,PG,1659985726
153,Vostok,46.4856,135.8833,53.42,97,1,5.86,RU,1659985727
154,Almaznyy,48.0448,40.045,76.48,24,6,5.73,RU,1659985728
155,Dhenkānāl,20.6667,85.6,78.01,91,96,4.21,IN,1659985730
156,Tautira,-17.7333,-149.15,74.91,60,24,14.12,PF,1659985731
157,Coquimbo,-29.9533,-71.3436,60.53,63,0,13.8,CL,1659985732
158,Mayumba,-3.432,10.6554,69.73,92,100,5.48,GA,1659985734
159,Deputatsky,69.3,139.9,52.79,86,66,2.64,RU,1659985735
160,Trogir,43.5125,16.2517,84.25,37,40,13.8,HR,1659985737
161,Noumea,-22.2763,166.4572,67.98,76,100,10.22,NC,1659985738
162,Kruisfontein,-34.0033,24.7314,58.89,91,0,4.18,ZA,1659985739
163,Yangjiang,21.85,111.9667,77.2,90,17,6.89,CN,1659985631
